Number,StreetAddress,City,State,StateFull,TelephoneNumber,TropicalZodiac,CCNumber,FulColor,Occupation,Company,Centimeters,Kilograms
55,4299 Maud Street,Wilmington,DE,Delaware,302-777-0521,Virgo,4.53244E+15,black,U.S. deputy marshal,Dave Cooks,168,108.5
56,4718 Lilac Lane,Savannah,GA,Georgia,912-525-8166,Cancer,4539006062400766,dark skinned,Museum technician,Carrols Restaurant Group,172,70.8
57,3483 Pennsylvania Avenue,New Brunswick,NJ,New Jersey,732-354-7933,Aquarius,5389390074858841,black,General superintendent,Hugh M. Woods,168,68.3
58,4124 Sycamore Fork Road,Bloomington,MN,Minnesota,952-948-0703,Cancer,4539147023348817,black,Meeting manager,Adray,160,66.5
59,42 Mapleview Drive,Trimble,TN,Tennessee,731-297-1768,Leo,5200436934939565,black,Ratings analyst,L.L. Berger,189,105
60,2974 Frosty Lane,Grand Gorge,NY,New York,607-588-3816,Pisces,5.18571E+15,black,Recording engineer,Team Electronics,178,95.2
61,1094 Brown Street,Phoenix,AZ,Arizona,928-210-2785,Aries,4539070374846603,black,Benefits administrator,Plan Future,181,78.7
62,799 Dovetail Estates,Socaldwell,OK,Oklahoma,580-985-7152,Aquarius,5412155250974931,dark skinned,Silversmith,Sears Homelife,158,55.3
63,3240 Chapmans Lane,Fence Lake,NM,New Mexico,505-788-2269,Scorpio,5594755055530612,black,Emergency management specialist,Electric Avenue,184,76.2
64,2969 Rainy Day Drive,Boston,MA,Massachusetts,617-994-3145,Sagittarius,5322353487992813,black,Midwife,Omni Tech Solutions,157,104.7
65,3692 Pennsylvania Avenue,Piscataway,NJ,New Jersey,732-328-9844,Taurus,4929222102319928,dark skinned,Manpower development advisor,Lum's,167,85.2
66,1288 Ridge Road,Great Bend,KS,Kansas,620-792-4328,Taurus,5466272369288916,dark skinned,Marketing research analyst,Baltimore Markets,166,99.6
67,310 Custer Street,Barnesboro,PA,Pennsylvania,814-951-6769,Sagittarius,5228117911309703,dark skinned,Admitting interviewer,Best Biz Survis,170,62.2
68,2776 Pretty View Lane,Oakland,CA,California,707-930-1013,Scorpio,4716375892383558,dark skinned,Florist,Electronic Geek,164,83.9
69,3285 Fleming Way,Richmond,VA,Virginia,804-734-9046,Pisces,4556087537843861,white,Maintenance electrician,Elm Farm,166,62.7
70,4063 Smithfield Avenue,Follett,TX,Texas,806-653-5055,Scorpio,4916976286485129,white,Systems developer,Susie's Casuals,162,95.5
71,1091 Wood Street,Independence,LA,Louisiana,985-878-0493,Cancer,4716326160916736,black,Insurance broker,Laura Ashley,178,96.5
72,4792 Stratford Park,Spencer,IN,Indiana,812-829-3580,Libra,4716534802905674,black,Agricultural laborer,Suadela Investment,182,64.2
73,3357 Terry Lane,Orlando,FL,Florida,321-257-9201,Scorpio,5278561832554112,black,Keypunch operator,Chi-Chi's,164,97.9
74,2906 Park Street,Martinez,CA,California,925-372-0007,Sagittarius,5165410490447787,black,Academic dean,Realty Zone,180,58.5
75,4138 Augusta Park,Vienna,WV,West Virginia,304-718-8007,Libra,4929536734221628,black,Ultrasonographer,Incluesiv,175,63.5
76,1702 Scenic Way,Champaign,IL,Illinois,217-722-2503,Cancer,4485124634141414,black,Costume designer,Realty Solution,188,94.9
77,2097 Godfrey Road,New York,NY,New York,212-585-9186,Aquarius,4556993358507172,black,Personnel training officer,Grass Roots Yard Services,161,83.3
78,2141 Hog Camp Road,Burr Ridge,IL,Illinois,708-463-9346,Scorpio,4539040930283492,black,Marshal,Hudson's MensWear,187,95.3
79,2314 Hillside Street,Phoenix,AZ,Arizona,480-430-7461,Aquarius,4716085017458645,black,Costume designer,J. Riggings,154,82.4
80,4807 Clark Street,Long Island City,NY,New York,631-227-9787,Cancer,4532183101675729,black,Account executive,Crandall's Fine Furniture,158,74.4
81,1435 Paul Wayne Haggerty Road,Metairie,LA,Louisiana,504-382-1230,Virgo,4916350366214033,black,Financial services sales agent,Rivera Property Maintenance,164,92
82,1418 Despard Street,Roswell,GA,Georgia,404-668-0801,Taurus,5165241594722274,black,Power lineman,Team Uno,188,70.7
83,2627 Station Street,Fremont,CA,California,510-875-3440,Libra,5507045443862646,black,Purchasing manager,Sanitary Grocery Stores,175,69.6
84,4427 Hedge Street,Roselle,NJ,New Jersey,908-620-1560,Aquarius,5.21791E+15,white,Optical goods worker,Service Merchandise,189,69.6
85,582 Pearl Street,Sacramento,CA,California,916-314-2401,Virgo,5152997802853624,black,Fabric mender,Forest City,177,86
86,1858 Carriage Court,Coachella,CA,California,760-391-8767,Sagittarius,4716350802720843,black,Referee,Piece Goods Fabric,170,59.6
87,2766 Godfrey Road,New York,NY,New York,212-550-6722,Aquarius,4929278212469821,black,Nephrology nurse,Baltimore Markets,183,84.2
88,144 Layman Avenue,Savannah,GA,Georgia,912-235-0911,Virgo,5590793823557579,dark skinned,Broadcast and sound engineering technician,Pacific Stereo,159,81.2
89,2665 Fire Access Road,High Point,NC,North Carolina,336-887-9410,Sagittarius,5315943085007094,black,Qualified members of the engine department,Plan Smart,177,95.2
90,1432 Beechwood Avenue,Newark,NJ,New Jersey,908-847-9011,Taurus,4539927891384352,black,Job analyst,Great Clothes,157,100.6
91,3919 Gordon Street,Los Angeles,CA,California,909-564-9633,Libra,5.3348E+15,black,Fitness director,Children's Palace,168,90
92,3500 Old House Drive,Columbus,OH,Ohio,740-936-3265,Capricorn,5264138267191169,white,Outdoor power equipment mechanic,Target Realty,172,88
93,2708 Johnstown Road,Des Plaines,IL,Illinois,847-390-2161,Aquarius,5.43004E+15,black,Bookmobile driver,Greyvoid,168,82.5
94,3428 Wiseman Street,Knoxville,TN,Tennessee,865-388-6246,Aquarius,5388162034303734,dark skinned,Underwriter,Monk Home Funding Services,158,82.8
95,4910 Biddie Lane,Richmond,VA,Virginia,804-501-5133,Leo,5263073175986635,black,Usher,Huffman and Boyle,183,111.9
96,2227 Ripple Street,Maple Rapids,MI,Michigan,989-682-8977,Capricorn,4916650705909064,black,Polisher,Stratabiz,156,67.4
97,3679 Brentwood Drive,Austin,TX,Texas,512-769-2538,Aries,5548008469384573,black,Customer service representative,Profitpros,182,108.7
98,703 Emily Drive,Columbia,SC,South Carolina,803-832-2039,Pisces,5416592574362151,black,"Shipping, receiving, and traffic clerk",The Wall,185,62.6
99,859 Grand Avenue,Winter Park,FL,Florida,407-679-6950,Virgo,4916501538767601,white,Motorboat operator,White Hen Pantry,153,59.6
100,4657 Shobe Lane,Denver,CO,Colorado,970-393-1235,Libra,5464049301932732,black,Rodbuster,DGS VolMAX,179,67.3
101,4736 Woodland Drive,Atlantic,IA,Iowa,712-250-7390,Virgo,5458072135163116,black,Qualified members of the engine department,Western Auto,180,98.3
102,2566 Morgan Street,Panama City,FL,Florida,850-527-9361,Gemini,4556343650716487,dark skinned,Fish and game warden,Total Serve,153,72.2
103,3525 Parrill Court,Laporte,IN,Indiana,219-325-6703,Pisces,5141193266754995,white,Public housing manager,Wealthy Ideas,167,75.1
104,2899 Mesa Drive,Las Vegas,NV,Nevada,702-337-0608,Pisces,4929870445475052,black,Forging machine tender,PriceRite Warehouse Club,169,82
105,1852 Gordon Street,Los Angeles,CA,California,909-498-7049,Virgo,5363991994034239,dark skinned,Developmental psychologist,Sholl's Colonial Cafeteria,173,91.9
106,2919 State Street,Southfield,MI,Michigan,313-984-9351,Leo,4.53248E+15,black,Neuropsychologist,Big Daddy's Restaurants,181,102
107,2278 Daffodil Lane,Savage,VA,Virginia,703-515-4722,Sagittarius,5.42188E+15,black,Economist,Mervyn's,173,101.2
108,927 Williams Lane,Mount Hope,KS,Kansas,316-667-2920,Cancer,4.71605E+15,black,Bridge and lock tender,Custom Lawn Service,152,54.5
109,4624 Jenna Lane,Cincinnati,OH,Ohio,513-948-9534,Sagittarius,4716959320230356,black,ENG operator,Omni Tech Solutions,167,68.7
110,4810 Emma Street,Honolulu,HI,Hawaii,808-203-4250,Libra,5.4989E+15,white,Private accountant,Happy Bear Investment,161,61.4
111,2021 Browning Lane,Mclean,NY,New York,607-838-5512,Gemini,4532886719511249,white,Custom inspector,The Happy Bear,177,74
112,4614 Pine Street,New Kensington,PA,Pennsylvania,724-339-6992,Aries,4716997147742427,black,Zoologist,Chase Pitkin,183,97.1
113,3552 Fairfield Road,West Allis,WI,Wisconsin,262-668-5938,Scorpio,4532322952599758,black,Nursery and greenhouse manager,Choices,170,101.7
114,457 Skips Lane,Phoenix,AZ,Arizona,928-563-8486,Virgo,4716189801917103,black,Software engineer,Mighty Casey's,155,76.8
115,631 Pursglove Court,Kettering,OH,Ohio,937-270-6111,Scorpio,4485212856447328,black,Log grader,The Serendipity Dip,184,64.5
116,4499 Jerry Dove Drive,Charleston,SC,South Carolina,843-518-6801,Capricorn,4539983083684208,black,Material dispatching,Mars Music,184,82.3
117,2429 Pratt Avenue,Seattle,WA,Washington,360-850-9905,Libra,4485339926058924,black,Network administrator,Anthony's,185,110.3
118,3705 Columbia Boulevard,Mutual,MD,Maryland,410-495-2958,Aquarius,4532536870800309,white,"Compensation, benefits, and job analysis specialist",Mission G,167,70
119,4665 Burning Memory Lane,Ambler,PA,Pennsylvania,215-283-9817,Capricorn,5352310882067891,black,Management consultant,Alladin Realty,169,85
120,2565 Corpening Drive,Pontiac,MI,Michigan,248-375-5603,Sagittarius,4485124755740424,black,Water resources engineer,Integra Wealth,154,101.4
121,789 Glory Road,Santa Fe,TN,Tennessee,931-682-0701,Cancer,4929640318803064,white,Front office manager,Giant Open Air,159,66.7
122,3068 Glenwood Avenue,Cleveland Heights,OH,Ohio,216-371-1044,Aquarius,5490792289737288,white,Internist,Muscle Factory,174,91.8
123,2732 Hanifan Lane,Newnan,GA,Georgia,678-552-0371,Libra,4929155381695842,black,Executive housekeeper,Pender's Food Stores,180,104.6
124,1295 Patterson Road,New York,NY,New York,718-866-7087,Sagittarius,5422197571944415,black,Financial economist,Greenwich IGA,168,102.8
125,3657 Havanna Street,Reidsville,NC,North Carolina,336-342-4712,Gemini,5416397802852217,white,Emergency and disaster response worker,Weathervane,167,104.5
126,1640 Levy Court,Cambridge,MA,Massachusetts,978-702-9699,Virgo,5421445956787177,black,Local controller,Indiewealth,170,68.1
127,1763 Westwood Avenue,Hicksville,NY,New York,516-801-6971,Scorpio,5461974702192003,black,Transmission engineer,Grodins,159,66.1
128,3565 Stiles Street,Pittsburgh,PA,Pennsylvania,412-608-2832,Aquarius,4556330420730369,white,Family services social worker,Red Owl,175,90.9
129,4655 Confederate Drive,Syracuse,NY,New York,315-681-7323,Cancer,4539171252902201,dark skinned,Obstetrician,Builderama,163,85.1
130,1239 Watson Lane,San Antonio,TX,Texas,830-207-9568,Libra,5156436761954756,black,Transmission technician,GEX,156,89.3
131,315 Traction Street,Duncan,SC,South Carolina,864-486-4557,Capricorn,4716292022831523,black,Time checker,Vari-Tec,164,90.9
132,119 Glenwood Avenue,Cleveland,OH,Ohio,216-305-9215,Libra,5445285033781401,white,Theoretical mathematician,J. Brannam,173,64.3
133,2653 Duncan Avenue,New York,NY,New York,917-621-4106,Cancer,4556658349847207,black,Purchasing agent,Choices,179,90.3
134,713 Rogers Street,Cincinnati,OH,Ohio,513-478-2360,Aries,4916813606530831,black,Local truck driver,Parklane Hosiery,159,84.7
135,1670 Larry Street,Milwaukee,WI,Wisconsin,414-855-3730,Scorpio,4532651914135297,black,DJ,Datacorp,164,84.1
136,3505 Woodrow Way,Houston,TX,Texas,936-308-4704,Aries,4556674081385926,dark skinned,Maintenance and repair worker,Bountiful Harvest Health Food Store,164,76.2
137,2018 Cantebury Drive,Elmsford,NY,New York,646-586-3700,Virgo,4.53917E+15,white,Marketing manager,"10,000 Auto Parts",164,79.4
138,3110 Jim Rosa Lane,San Francisco,CA,California,415-762-3543,Aries,5326538019132419,black,Lyricist,White Hen Pantry,186,64.7
139,2640 Chandler Hollow Road,Pittsburgh,PA,Pennsylvania,412-485-7211,Gemini,4539034268873347,dark skinned,Prison guard,Food Barn,170,96.5
140,1209 Wilkinson Court,Fort Myers,FL,Florida,239-485-5796,Pisces,4539030056703191,dark skinned,Orthotist,Judy's,183,64.6
141,2791 Commerce Boulevard,Lincoln,NE,Nebraska,402-601-0703,Aquarius,4539806914062452,dark skinned,Social and human service assistant,Beatties,176,74.2
142,4153 Tea Berry Lane,Wausau,WI,Wisconsin,715-846-2024,Capricorn,5516553880931104,black,Nursing assistant,Castro Convertibles,176,69.2
143,956 Heather Sees Way,Big Cabin,OK,Oklahoma,918-783-3751,Aquarius,5277613800338589,white,EKG technician,Johnson's General Stores,167,83.9
144,2378 Margaret Street,Houston,TX,Texas,713-889-3052,Aries,4.55694E+15,black,Secretary,Network Air,167,48.8
145,2407 Poplar Lane,Miami,FL,Florida,305-554-5031,Aquarius,5316463771771738,black,Tractor-trailer driver,Knockout Kickboxing,163,105.7
146,4695 West Fork Street,Grass Range,MT,Montana,406-428-2669,Virgo,5222803816912636,black,Sports official,Superior Interior Design,180,109.5
147,808 Geraldine Lane,New York,NY,New York,646-295-9882,Libra,5321254741894053,white,Transcriber,J. B. Van Sciver,159,95.1
148,3011 Liberty Avenue,Los Angeles,CA,California,714-421-5959,Scorpio,5206593289186301,black,"Extruding, forming, pressing, and compacting machine tender",Great American Music,190,92.8
149,3742 Kelly Drive,Huntington,WV,West Virginia,304-908-2372,Taurus,5208886043081067,dark skinned,Automotive glass repairer,Second Time Around,170,92.9
150,870 Kemper Lane,Salt Lake City,UT,Utah,801-879-3437,Libra,5410957057666541,black,Skills training coordinator,O.K. Fairbanks,168,90.7
151,3804 Strother Street,Columbiana,AL,Alabama,205-670-6900,Scorpio,4716949611592093,white,Commercial lender,Quality Merchant Services,165,74.7
152,1318 Sun Valley Road,Moses Lake,WA,Washington,509-793-6924,Virgo,4916411160368092,black,Pumping station operator,Hughes Markets,168,69.6
153,2604 Patterson Fork Road,Chicago,IL,Illinois,312-665-0865,Cancer,5585301052122367,dark skinned,Forging machine tender,Littler's,169,57.7
154,2782 Roosevelt Wilson Lane,Fullerton,CA,California,909-856-7877,Virgo,5338441462062454,black,Engineering geologist,Total Yard Maintenance,181,73.4
155,4782 Turkey Pen Road,Garden City,NY,New York,917-238-4957,Cancer,4916085426823312,black,Outdoor power equipment mechanic,Forum Cafeterias,160,50.1
156,240 Parkview Drive,Houston,TX,Texas,713-996-6991,Libra,5216403846807068,white,Announcer,Hit or Miss,154,58.6
157,2301 Lynn Street,Franklin,MA,Massachusetts,617-317-9790,Cancer,4556069496359642,white,Jeweler,Allied City Stores,160,67.9
158,674 Poling Farm Road,Omaha,NE,Nebraska,402-312-5335,Scorpio,5538315821215888,white,Cook,Electronics Source,158,92.4
159,3424 Fairfax Drive,Cranford,NJ,New Jersey,908-931-3180,Pisces,4929646311312334,white,Scheduling clerk,Franklin Simon,180,72.5
160,3839 Worthington Drive,Irving,TX,Texas,972-607-1199,Taurus,5253550727507078,black,Data processor,Lindsley's Lumber,168,70.8
161,4624 Broadway Avenue,Athens,TN,Tennessee,423-744-3978,Gemini,5547334529883672,black,Woodworking machine operator,Crazy Tiger,189,67
162,3057 Walnut Avenue,Lyndhurst,NJ,New Jersey,201-479-0506,Scorpio,5274414812003227,black,Broker,Monk Home Loans,186,102
163,542 Indiana Avenue,Wahiawa,HI,Hawaii,808-622-3557,Scorpio,4485909978666707,black,Special education teacher,Intelacard,171,87.1
164,2879 Lamberts Branch Road,Miramar,FL,Florida,786-853-4227,Pisces,5455461264314348,dark skinned,Paramedic,Rainbow Records,160,50.8
165,2355 Lightning Point Drive,Memphis,TN,Tennessee,901-485-3669,Aquarius,5537350493384002,black,Concrete paving machine operator,Red Fox Tavern,167,79.1
166,3318 Reynolds Alley,Bellflower,CA,California,562-285-0875,Sagittarius,5317731519306465,dark skinned,Conciliator,Frame Scene,151,49.7
167,3968 Feathers Hooves Drive,Bethpage,NY,New York,631-675-4849,Libra,4916162935289002,dark skinned,Passenger rate clerk,Realty Zone,183,85.3
168,4114 Riverwood Drive,Chico,CA,California,530-390-2955,Libra,5202575214375871,white,Fine artist,Playworld,157,90.5
169,940 Gore Street,Houston,TX,Texas,713-555-9495,Aries,5312652775450729,black,Dental surgery doctor,Adapt,162,62.9
170,4030 Golden Street,Opa Locka,FL,Florida,305-685-0258,Libra,4539184202326215,black,Photojournalist,Clemens Markets,156,85.7
171,2032 Biddie Lane,Mechanicsville,VA,Virginia,804-569-4010,Leo,4.53204E+15,white,Broadcast field supervisor,Stratacard,159,69.2
172,3015 Capitol Avenue,Kokomo,IN,Indiana,765-603-9383,Aries,5.35058E+15,white,Media outreach specialist,Young @ Heart,156,69.8
173,4497 Orchard Street,Bloomington,MN,Minnesota,952-858-9312,Capricorn,4539715967616991,black,Plant scientist,Farmer Jack,157,82.2
174,4658 Mercer Street,Auburndale,WI,Wisconsin,715-652-3983,Capricorn,5217124869091179,dark skinned,Funeral director,Opti-Tek,163,87.2
175,1275 Eastland Avenue,Jackson,MS,Mississippi,601-429-6333,Taurus,4929889837160536,black,Food and beverage serving and related worker,China Coast,172,79.4
176,2406 Red Dog Road,Charlotte,NC,North Carolina,704-340-0940,Aries,5437552268968189,black,Instructional aide,King Carol,185,67.8
177,2574 Poplar Avenue,San Diego,CA,California,619-574-3266,Taurus,4929838050149684,black,Accountant,Liberal,163,72.1
178,4502 Adonais Way,Atlanta,GA,Georgia,678-447-6205,Capricorn,5483354362368926,white,Bookkeeper,Albers Super Markets,158,92
179,390 Eastland Avenue,Jackson,MS,Mississippi,601-346-7593,Aries,4929802296185977,dark skinned,FBI agent,Alert Alarm Company,162,49.4
180,4122 Kenwood Place,Boynton Beach,FL,Florida,954-588-1851,Capricorn,5186420816128016,white,Piano tuner,Vitagee,162,75.6
181,4730 Bingamon Branch Road,Arlington Heights,IL,Illinois,847-222-7198,Leo,4916485466368162,black,Vocational education teacher,Weenie Beenie,187,105.9
182,844 Hillcrest Lane,Sherman Oaks,CA,California,949-891-2648,Pisces,4485995377392821,dark skinned,Support specialist,Standard Food,162,74.8
183,4845 Cherry Tree Drive,Jacksonville,FL,Florida,904-296-7218,Aries,4.92979E+15,black,Public adjuster,Four Leaf Clover,185,66.2
184,345 Horseshoe Lane,Newark,PA,Pennsylvania,484-406-5108,Gemini,5134066257009315,black,Hearing therapist,"Sounds Great, Inc",166,90.3
185,2130 Russell Street,Westborough,MA,Massachusetts,978-877-2945,Leo,4539374907459227,black,Executive chef,The Independent Planners,173,56.7
186,4746 Cambridge Court,Clarksville,AR,Arkansas,479-847-2272,Libra,4929414431950966,black,Corporate office services manager,Dynatronics Accessories,172,88.4
187,2006 Ray Court,Wilmington,NC,North Carolina,910-264-6228,Gemini,5501274361812823,black,Sewing machine operator,Earthworks Garden Kare,170,75.9
188,1060 Trails End Road,Hialeah,FL,Florida,954-307-2638,Leo,5.38527E+15,black,General and operations manager,Childs Restaurants,160,56.4
189,4438 Lawman Avenue,Falls Church,VA,Virginia,703-206-5542,Libra,5545839006383196,black,Social and community service manager,Robert Hall,184,91.6
190,3664 Larry Street,Waukesha,WI,Wisconsin,414-897-4038,Libra,4929443409441302,white,Welding machine tender,Jacob Reed and Sons,172,94.7
191,886 Jadewood Drive,Buffalo Grove,IL,Illinois,224-377-5121,Pisces,5445396066570064,dark skinned,Dietitian,Stratabiz,154,65.4
192,1113 Blackwell Street,Anchorage,AK,Alaska,907-337-1359,Taurus,5289606783094563,black,Closed captioner,Adapt,189,95.5
193,864 Walt Nuzum Farm Road,Spencerport,NY,New York,585-352-1556,Leo,5345917585894924,white,Extractive metallurgical engineer,Big Star Markets,154,61.8
194,3635 Pinchelone Street,Herndon,VA,Virginia,757-387-3424,Taurus,4539337077914842,black,Weather forecaster,AdventureSports!,187,94.4
195,1175 Meadowcrest Lane,Lexington,KY,Kentucky,606-503-7195,Scorpio,4556925669289587,white,Midshipman,National Lumber,170,60.5
196,60 Murry Street,Virginia Beach,VA,Virginia,757-497-2055,Leo,4916422434704533,black,Health services manager,Forest City,167,88.4
